set_code,name,population,index_value,eco_level
796,?????,907,0.373,6
799,?????,1039,0.4,6
864,????,665,0.42,6
59,?????,1240,0.439,6
778,????,802,0.447,6
823,?? ?????,641,0.572,7
752,????,609,0.59,7
567,????,906,0.619,7
822,???,897,0.65,7
1079,???????,371,0.707,7
783,??? ????,740,0.707,7
780,????,1301,0.712,7
1070,??????,847,0.754,7
693,"???? ??""?",596,0.791,7
825,?? ????,1286,0.809,7
78,????? ?????,466,0.951,7
771,???? ????,857,0.951,7
787,???? ?????,1386,0.979,8
464,????,247,0.993,8
777,?????,492,1.007,8
779,??????,1083,1.061,8
286,???? ??????,674,1.078,8
919,???? ??????,796,1.124,8
742,????? ????,1263,1.222,8
1113,??? ????,7392,1.233,8
1114,?????? (??-???),1011,1.252,8
364,??? ?????,927,1.256,8
672,??? ?????,633,1.336,8
456,????,1013,1.339,8
460,??? ?????,649,1.367,8
462,?? ???,1287,1.39,8
208,???? ?????,940,1.427,8
710,??? ???,1631,1.528,8
1043,????,188,1.581,8
405,???? ????,926,1.612,8
1254,???,378,1.618,8
1259,???? ????,265,1.752,9
741,?????,580,1.815,9
868,????? ????,294,-2.151,1
189,??? ????,994,-1.093,2
1316,??-?????,178,-0.705,3
649,?????,1880,-0.483,3
72,?? ?????,856,-0.377,4
2024,??? ??-?????,1037,-0.337,4
1370,???? ????,317,0.153,6
139,??? ???,520,0.209,6
648,???,394,0.487,6
310,??? ???????,273,0.764,7
444,?????,416,0.818,7
617,?????,525,0.848,7
344,?????,676,0.898,7
2055,????,1258,0.949,7
1243,????,2776,0.976,8
375,???,1057,1.094,8
2008,??? ????,586,1.119,8
223,??? ?????,551,1.124,8
2003,???? ?????,765,1.288,8
213,??????,796,1.352,8
225,?? ???????,803,1.528,8
1128,?? ???,331,1.564,8
715,????? ?????,852,1.596,8
281,?????? ????,404,0.225,6
1184,???,192,0.235,6
795,????,712,0.353,6
603,?????,318,0.565,7
892,?????,615,0.585,7
1045,?????,275,0.619,7
614,?????,341,0.692,7
1147,?????,277,0.723,7
1220,??????,194,0.734,7
662,????,997,0.754,7
813,??? ????,987,0.756,7
1173,??????,121,0.765,7
1219,?????? ?????,168,0.794,7
1130,??? ???????? (?????),249,0.796,7
755,????,441,0.838,7
1206,????,266,0.862,7
774,??????,312,0.907,7
1205,????,402,0.969,8
1081,??? ????,264,1.043,8
570,?????,968,1.077,8
1314,???? ???,857,1.288,8
1208,????,575,1.3,8
1294,??? ?????,454,-1.648,1
607,?????,898,-1.262,2
1338,?????,162,-1.146,2
1191,?? ?????,921,-0.685,3
546,??? ??-???,866,-0.561,3
688,????,679,-0.336,4
368,??????,822,-0.179,5
431,?????,869,-0.12,5
1214,?????,464,-0.091,5
605,??? ????,460,0.084,5
1115,??????,496,0.192,6
846,???,361,0.245,6
609,??? ????,714,0.305,6
540,????????,1201,0.312,6
1064,??????,789,0.427,6
1067,"???""?",478,0.56,7
1047,????,311,0.585,7
527,????,304,0.632,7
1230,?????,421,0.737,7
1229,?????,195,0.757,7
664,??? ?? ????,445,0.786,7
1297,??? ?????,669,0.793,7
599,????,455,1.086,8
1212,?????,125,1.883,9
709,????,2156,-1.846,1
2021,??? ?????,244,-1.687,1
2050,"???? ???""?",452,0.162,6
750,??????,471,0.173,6
2048,??? ?????,702,0.204,6
749,????,857,0.271,6
2059,"???? ??""?",504,0.312,6
762,????,721,0.37,6
736,????,1323,0.548,7
71,?????,490,0.551,7
2049,??? ???,588,0.558,7
789,???,608,0.656,7
1080,??????,1161,0.708,7
748,?????,778,0.782,7
414,?????,589,0.891,7
2047,??? ???,527,1.099,8
1335,??? ?? ????,733,-2.09,1
1317,??????,463,-1.669,1
1332,???????,651,-1.362,2
1245,????,3083,-1.286,2
1331,?????,1415,-1.056,2
1334,??? ??-???,351,-0.991,2
1203,?????,412,0.658,7
1178,?????,1424,0.735,7
1188,????,790,0.821,7
1171,????,694,0.869,7
1112,?????,710,0.897,7
1172,????,297,0.904,7
1163,????,427,1.01,8
1275,???????,381,1.036,8
1272,????,464,1.088,8
1202,??????,443,1.103,8
1201,????,1357,1.117,8
1209,?????,290,1.134,8
1180,????,310,1.248,8
1207,????,658,1.274,8
1235,??????,476,1.53,8
1181,??-??,1110,1.623,8
1222,"???? ???""?",978,1.624,9
1160,?????,740,1.635,9
1221,?????,763,1.762,9
1174,????,794,1.81,9
1228,????,905,1.848,9
1179,??????,868,1.906,9
917,????? ???,1069,1.919,9
1138,???,710,1.961,9
1226,??????,1081,1.966,9
1204,?????,1082,2.078,9
1348,??? ????',4583,-3.11,1
1347,??? ?-??,1406,-2.367,1
1342,??? ??????? (?????),1218,-2.221,1
440,??????,907,-1.788,1
2033,??? ?????,888,-1.415,2
577,?? ??????,3833,-0.217,4
1372,??? ????,377,0.18,6
588,??? ???,1353,0.346,6
363,??? ????,503,0.461,6
1371,??? ??,645,0.506,7
264,??? ?????,558,-0.167,5
273,??? ??,631,-0.135,5
57,???? (?????),671,-0.034,5
188,????? ???? (?????),496,0.065,5
143,??? ???,547,0.166,6
374,?????,539,0.184,6
176,??????,1460,0.186,6
1105,?????? - ???? ????,1114,0.204,6
262,??????,562,0.24,6
702,????,184,0.28,6
678,????,353,0.331,6
199,????? ???? (?????),922,0.41,6
62,????? ?',530,0.443,6
719,?? ????,343,0.469,6
79,????? ?',643,0.502,7
263,????,345,0.544,7
1104,?????? - ??? ?????,371,0.608,7
1313,?????? ?????,909,0.867,7
330,??????,321,0.934,7
63,???? (?????),627,1.24,8
1125,??????,349,1.468,8
304,??? ?????,686,-1.038,2
383,"??? ????""?",609,-0.475,3
1282,????,670,-0.361,4
2016,?????,375,-0.244,4
268,???? ???,752,-0.231,4
439,??????,473,0.028,5
298,??????,425,0.038,5
265,??? ????,433,0.098,5
296,???? ????,324,0.154,6
1127,???? ?????,671,0.161,6
854,????,356,0.163,6
2026,?????,344,0.224,6
1283,?? ??????,513,0.405,6
48,??????,999,0.482,6
305,???,416,0.5,6
2057,??? ??????,433,0.505,7
256,??? ??? (?? ???),653,0.579,7
295,??? ?????,404,0.595,7
590,???? ???,330,0.689,7
343,?????,396,0.707,7
437,?????,734,0.757,7
259,??? ????,569,0.77,7
272,???? ????,461,0.81,7
1318,?????? ??,481,-1.869,1
186,??????,248,-1.155,2
897,????? ?????,480,-0.391,4
252,???? ????,361,-0.103,5
197,??????,962,0.119,5
217,"??? ???""?",1390,0.312,6
224,????? ??????,518,0.444,6
872,????? ????,369,0.466,6
204,??????,728,0.543,7
173,???? ???? (?????),978,0.586,7
167,??? ?????,744,0.599,7
422,??? ???,850,0.62,7
194,???? ?????,552,0.7,7
850,??????,1062,0.788,7
235,????? ?????,553,0.793,7
2018,???? ???? (?????),1057,0.873,7
1319,?? ???,5448,1.129,8
2043,???,931,1.138,8
377,??????,796,1.142,8
698,??????,1128,1.18,8
423,?????,844,1.187,8
680,????,782,1.246,8
758,?? ???,800,1.32,8
205,????,831,1.365,8
1361,?? ??,422,1.385,8
697,????????,1116,1.395,8
737,????,1067,1.414,8
233,??? ??????,754,1.496,8
807,?????,931,1.531,8
219,???? ????,657,1.581,8
175,??????,1395,1.581,8
193,??? ????,600,1.587,8
382,??????,1334,1.596,8
373,??? ????,813,1.602,8
1102,???? ??,270,1.657,9
387,??? ????,949,1.659,9
191,??? ??,599,1.686,9
734,?? ?????,976,1.701,9
326,??? ????-??? ???,2105,1.706,9
200,??? ????,419,1.75,9
877,??? ?????,881,1.756,9
115,?????,739,1.77,9
190,??? ??????,2017,1.781,9
1077,???? ?????,398,1.878,9
942,????? (??????),159,-1.884,1
994,????? ????,1212,-0.916,2
106,??? ?????,332,-0.538,3
142,??? ????,1133,0.207,6
457,????,650,0.356,6
436,??? ???,972,0.401,6
1249,?????,921,0.475,6
407,????,329,0.512,7
285,??????,470,0.587,7
126,????,811,0.62,7
80,????,962,0.639,7
66,?????? (?????),1136,0.702,7
104,????,608,0.716,7
92,??????,646,0.784,7
134,????,1023,0.791,7
132,??? ????,518,0.898,7
135,??? ???,463,0.96,7
140,??? ?????,1107,1.012,8
1330,????? ???,2095,1.06,8
1186,??????,1929,1.199,8
103,?? ?????,1418,1.214,8
133,???,849,1.254,8
1257,?????,794,1.284,8
94,???????,435,1.293,8
192,??? ?????,607,1.308,8
97,?????? (????),664,1.363,8
684,?????,632,1.379,8
613,??????,832,1.437,8
248,??? ?????,747,1.442,8
677,???????,907,1.55,8
1337,?????,2594,1.645,9
1182,???? ?????,1003,1.69,9
430,??? ??? ???????,777,1.691,9
1199,???,1860,1.884,9
429,????? ???,1000,1.906,9
1288,???? ???,1911,2.166,9
1244,????,1332,2.229,9
696,"??? ??""?",5968,-0.522,3
797,??????,1647,-0.394,4
798,???,901,0.285,6
594,??????,924,0.293,6
788,????,1045,0.309,6
801,???,1131,0.439,6
729,???? ?????,987,1.605,8
836,????,623,1.644,9
331,??? ???,1275,1.672,9
3785,??????,206,-1.148,2
3782,????,168,-1.022,2
3607,"???""?",279,-0.888,2
3646,????,233,-0.546,3
3606,????,171,-0.402,4
3613,?????,376,-0.068,5
3578,????? ?????,553,0.193,6
3566,????,149,0.211,6
3599,?????,471,0.292,6
3609,????,127,0.756,7
3614,?????,141,0.774,7
3619,????,162,0.904,7
3598,?????,133,1.022,8
3612,?????,182,1.359,8
3605,?????,148,1.393,8
3615,????,250,1.519,8
3555,???? ?????,181,1.543,8
3558,????,247,1.689,9
354,??????,1035,-0.54,3
1340,???? ??,333,-0.409,4
885,??? ????,440,-0.282,4
1278,??? ?????,150,-0.236,4
421,????? ???,441,-0.095,5
1260,?????,415,0.298,6
1152,?????,449,0.74,7
1140,????? ?? ??????,1787,0.84,7
1291,?????,159,0.852,7
1280,????? ????,259,0.912,7
1177,?????,399,0.924,7
1083,??????,1014,-0.591,3
803,???????,524,-0.539,3
1146,??????,470,-0.416,4
415,?????,405,-0.089,5
419,???,760,-0.056,5
2044,??????,276,-0.055,5
2064,?????,352,-0.038,5
761,????,570,0.008,5
1065,????,458,0.115,5
2014,???????,326,0.179,6
1082,??????,1969,0.188,6
865,???????,308,0.215,6
398,?????,293,0.247,6
723,??? ????,729,0.258,6
1095,??? ?????,296,0.547,7
665,?????,649,1.17,8
3762,?????,1305,-1.355,2
3749,????,1380,-1.211,2
3710,????,2267,-0.967,2
3579,???? ????,1794,-0.59,3
3572,??? ????,970,-0.555,3
3571,??? ??????,879,-0.223,4
3793,???? ???,1709,-0.209,4
3569,???? ????,364,-0.156,5
3717,????,219,-0.055,5
3751,??????,269,-0.017,5
3744,??????,719,-0.009,5
3795,????,1974,0.012,5
3712,???,711,0.07,5
3822,?????,583,0.101,5
3643,??????,1089,0.132,5
3746,????? ?????,865,0.142,5
3790,?????,638,0.311,6
3647,????,1863,0.316,6
3768,?????,1622,0.343,6
3727,??? ???,1300,0.348,6
