set_code,name,population,index_value,eco_level
3730,???? ???,16123.41626,0.03199561,5
9000,??? ???,201813.756,0.034026254,5
508,??? ???,3188.008531,0.098872934,5
1066,"??? ??""?",6919.177272,0.107092238,5
2400,??? ?????,36067.58968,0.171429307,6
469,????? ?????,10717.88943,0.182028851,6
535,?????,3025.501398,0.188630299,6
7400,?????,206793.0213,0.198508152,6
3640,???? ??????,6905.359002,0.20432104,6
812,?????,6099.226683,0.213845361,6
6800,????? ???,55242.1474,0.2281717,6
6500,????,88256.76057,0.264642401,6
1139,??????,44755.86322,0.268156221,6
2600,????,49707.44811,0.277103725,6
3616,???? ??????,37423.93382,0.34209221,6
487,?'? (??? ???),3077.898935,0.366375405,6
41,??????,3424.353505,0.378729216,6
3570,?????,18717.07298,0.385363594,6
9100,??????,54305.18756,0.393006248,6
3650,????,8301.162163,0.425035285,6
6600,?????,188636.734,0.501538214,7
9500,????? ??????,39017.76052,0.512673483,7
4000,????,277736.3418,0.528802824,7
2660,????,42313.72537,0.553888875,7
8200,????? ??????,40159.52489,0.56592555,7
518,??????,3094.663442,0.618383944,7
2640,??? ????,42575.22281,0.638130379,7
8400,??????,132509.4256,0.641215229,7
7900,??? ?????,229845.2813,0.655990049,7
565,????,12095.0658,0.660274494,7
466,??? ???,7098.968204,0.662105471,7
7800,???? ???-?????,37424.47095,0.693437092,7
2550,????,25820.78103,0.694964538,7
2500,???,23419.49277,0.711447534,7
2530,??? ????,18273.4145,0.734664739,7
166,?? ????,22294.05788,0.775308128,7
240,????? ?????,21382.88675,0.811682014,7
168,??? ????,21610.92786,0.814613493,7
26,??? ????,2908.349226,0.825405274,7
8300,????? ?????,243328.9865,0.846846045,7
3560,?????,3944.765181,0.863212653,7
3652,??? ????,4720.994576,0.904014559,7
9400,????,29145.40754,1.017470249,8
8600,??? ??,152112.1085,1.053429437,8
681,???? ?????,25298.3691,1.067018446,8
43,?????,1613.994595,1.081604861,8
1015,????? ????,24294.88846,1.100677952,8
29,???? ?????,1644.448845,1.148435771,8
3750,???? ????,7637.608391,1.165734649,8
6900,??? ???,96508.94936,1.175994917,8
9300,????? ????,22347.42896,1.186580822,8
5000,?? ????-???,431708.2146,1.207843071,8
195,?????-????,20408.43311,1.208135709,8
28,????? ????,12698.30009,1.250953325,8
2300,????? ?????,17607.01444,1.261625365,8
8700,?????,70285.32909,1.272839154,8
6400,???????,91620.99702,1.290979727,8
3760,??????,8495.015643,1.292936912,8
7200,?? ?????,46534.85582,1.308945285,8
1200,???????-?????-????,88747.90333,1.335687294,8
9800,???????-???? ???,14550.27136,1.339275887,8
229,??? ?????,16042.08715,1.357689597,8
47,??? ????,3796.219222,1.369692875,8
122,??? ???,7477.811499,1.397306412,8
154,?? ????,11940.77421,1.403461389,8
171,???????,5562.882268,1.453282096,8
6300,???????,57492.93143,1.455150287,8
9700,??? ?????,56266.53632,1.512136281,8
2620,????? ????,37714.01574,1.518669701,8
182,??? ?????,13125.22405,1.535258717,8
1268,????,7341.137116,1.552219614,8
1263,??? ?????,5445.708918,1.649145303,9
1304,????,20403.307,1.67386113,9
2650,??? ?????,44340.01066,1.724368466,9
3769,?? ???,3858.099351,1.767860151,9
1224,???? ????,9053.694702,1.863095844,9
666,????,7339.363176,1.934828006,9
1271,?????,6442.498144,2.005167521,9
267,??? ??????,1785.114878,2.521515887,10
587,?????,3704.545315,2.5899498,10
